,sentiment,text
1012188,positive,Is lookin 4ward to a long weekend  really dont want to go to work 2day tho =[ x
1099036,positive,#myweakness  Is music and i live to meet the people who make it 
1275978,positive,figured out the Internet on my new iPod 
1388988,positive,@hillsongunited can't wait to worship with you guys tonight. it'll be so much fun 
938859,positive,@sillybeggar Congrats James !! I'm sure the book is going to be a huge success 
1564498,positive,@DebbyBruck beautiful! when children smile the world smiles 
1137706,positive,@bethofalltrades http://twitpic.com/69bs9 - happy birthday! 
1057163,positive,"@ad_infinitum Why yes, I can. The Ultimate Vegan Guide by Eric Marcus: http://bit.ly/rQp7n You can always ask me anything, you know. "
1432647,positive,getting all the writing off of mee. fun nightt 
1317320,positive,@noopman Remote? I prefer to be on site.  There's no substitute for working with people in person
853867,positive,lol @QueenLizII - maybe the Queen does tweet! 
1301703,positive,@sunnarose yay for the return of teaser tuesday 
1522280,positive,Off to the Garter Ceremony at Windsor Castle 
1489644,positive,@eve76 it would be fine if max and erma gave away those tasty salads each day. lol 
1020424,positive,@RachelRoseberry @morganbritney....i started with my iced coffee as well  happy friday!
1021365,positive,@OnlinePublicist Thank you 
1466661,positive,@Elijahbutterz got any pics of the whole jacket? 
1566729,positive,@Myke329 MAD LATE But GOOD LUCK 
1193371,positive,"Good talk with mom, now off to spend time with some friends! "
1563584,positive,@mileycyrus i voted for you! hope you win some great awards! good luck!!! and praying for you!!! 
1403776,positive,"Of course, as always, Jerry wants some tweaks to the covers... Bah! It wouldn't annoy me so much if he wasn't right "
1419790,positive,@indiemoviemaker thanks 4 including me in your shoutout 
1548239,positive,i have far to many random updates than im never gonna reaad and HEIIII CHANNELLLE 
1296290,positive,@stacey_baby good morning girlie  How are you? xo
1098474,positive,@F1_Girl  Well  I guess he has had a fair few silverstone specials  already   Going off your profile pic your a Lewis fan?
986184,positive,im putting skins on my ipod 
813118,positive,"@zownder Fun, my daughter also lead her CS team  I love girl gamers!!!"
1205703,positive,@Psychic09 Allright. Good night &amp; thank you very much.   *hugs*  
1364350,positive,"WOW! Free falling 120 miles per hour in the air from 12,500 feet altitude...  http://snipr.com/je9tb"
1357362,positive,@common Hey !! XOXO 
1009303,positive,@Lemonpi is it the one on your blog? next will be mushrooms 
908492,positive,"@martinb9999 need to get an intel based mac 1st   but this impacts on dual core vs quad choice, latter probably better for virtualization"
882329,positive,"@spoggy hi bill, thx for the follow - you do a lot of affiliate marketing? ever tried mktg your OWN thing? "
1534779,positive,@saturnboy good job!  So pretty 
1003929,positive,"Mornin all! Slept thro bleddy alarm again!! I'm sooo late, #followfriday recs to come later in the day. Have a good Friday "
1265228,positive,@AquaAHH #ilove everything old school!  
1535817,positive,Off to explore Buffalo by foot 
1518211,positive,@VasiVallis Vienna Bounce  *bounce-bounce*
1063219,positive,"@Nonicam that classic help desk response-turn it off, turn it on again! Glad it works now "
1244011,positive,...I personally had my fill of the Sister Mary Margaret(s) something or other. 12 yrs of catholic school...so done. 
1192219,positive,@biancaduhh aww. i think someone put it up on youtube lol 
1356725,positive,Going to my aunts. Yay! Be warned. She is a facebooker. We will have fun though 
1281318,positive,@caseysevenfold oh ok   come 2 the venue early? 
1243666,positive,@ddlovato ahaha the McDonalds part was hilarious  hope your having funn.
1125297,positive,@ShimTheDream i know i'm overdoing the anchorman thing but goddamn i just had to get that one in there. it was too perfect 
1522634,positive,"and after all, you're my wonderwall "
1315933,positive,@TheSUPERGIRL Maybe ill make a video and show ya what this beautiful place is all about 
1427060,positive,the Red Sox got a home run 
