,sentiment,text
0,1.0,is lookin 4ward to a long weekend  really dont want to go to work 2day tho  x
1,1.0,myweakness  is music and i live to meet the people who make it
2,1.0,figured out the internet on my new ipod
3,1.0,cant wait to worship with you guys tonight itll be so much fun
4,1.0,congrats james  im sure the book is going to be a huge success
5,1.0,beautiful when children smile the world smiles
6,1.0,happy birthday
7,1.0,why yes i can the ultimate vegan guide by eric marcus  you can always ask me anything you know
8,1.0,getting all the writing off of mee fun nightt
9,1.0,remote i prefer to be on site  theres no substitute for working with people in person
10,1.0,lol   maybe the queen does tweet
11,1.0,yay for the return of teaser tuesday
12,1.0,off to the garter ceremony at windsor castle
13,1.0,it would be fine if max and erma gave away those tasty salads each day lol
14,1.0,started with my iced coffee as well  happy friday
15,1.0,thank you
16,1.0,got any pics of the whole jacket
17,1.0,mad late but good luck
18,1.0,good talk with mom now off to spend time with some friends
19,1.0,i voted for you hope you win some great awards good luck and praying for you
20,1.0,of course as always jerry wants some tweaks to the covers bah it wouldnt annoy me so much if he wasnt right
21,1.0,thanks 4 including me in your shoutout
22,1.0,i have far to many random updates than im never gonna reaad and heiiii channellle
23,1.0,good morning girlie  how are you xo
24,1.0,well  i guess he has had a fair few silverstone specials  already   going off your profile pic your a lewis fan
25,1.0,im putting skins on my ipod
26,1.0,fun my daughter also lead her cs team  i love girl gamers
27,1.0,allright good night amp thank you very much   hugs
28,1.0,wow free falling 120 miles per hour in the air from 12500 feet altitude
29,1.0,hey  xoxo
30,1.0,is it the one on your blog next will be mushrooms
31,1.0,need to get an intel based mac 1st   but this impacts on dual core vs quad choice latter probably better for virtualization
32,1.0,hi bill thx for the follow  you do a lot of affiliate marketing ever tried mktg your own thing
33,1.0,good job  so pretty
34,1.0,mornin all slept thro bleddy alarm again im sooo late followfriday recs to come later in the day have a good friday
35,1.0,ilove everything old school
36,1.0,off to explore buffalo by foot
37,1.0,vienna bounce  bouncebounce
38,1.0,that classic help desk responseturn it off turn it on again glad it works now
39,1.0,i personally had my fill of the sister mary margarets something or other 12 yrs of catholic schoolso done
40,1.0,aww i think someone put it up on youtube lol
41,1.0,going to my aunts yay be warned she is a facebooker we will have fun though
42,1.0,oh ok   come 2 the venue early
43,1.0,ahaha the mcdonalds part was hilarious  hope your having funn
44,1.0,i know im overdoing the anchorman thing but goddamn i just had to get that one in there it was too perfect
45,1.0,and after all youre my wonderwall
